,0,1,2,3,4,5,6,7,8
0,4.0099054e-05,3.158511e-08,9.705462e-06,9.166011e-05,0.9987097,0.00062876823,5.9528677e-05,5.3109115e-06,0.0004551894
1,0.000287761,1.0252853e-06,1.4245685e-05,0.0038396467,7.35807e-05,0.009942076,0.0025665574,9.022159e-05,0.9831849
2,9.518974e-13,2.1563778e-20,1.0048249e-16,3.5537737e-09,3.446865e-14,1.8664082e-07,6.957828e-10,3.2685094e-14,0.99999976
3,9.334202e-13,2.1028125e-20,9.802685e-17,3.5153065e-09,3.3574824e-14,1.8480536e-07,6.911139e-10,3.191309e-14,0.99999976
4,9.360268e-13,2.1125411e-20,9.8364725e-17,3.5225756e-09,3.366338e-14,1.850729e-07,6.929407e-10,3.2000373e-14,0.99999976
5,9.362463e-13,2.1133713e-20,9.839212e-17,3.5231869e-09,3.367038e-14,1.8509445e-07,6.9310196e-10,3.2007088e-14,0.99999976
6,9.362374e-13,2.1133713e-20,9.839062e-17,3.5231735e-09,3.36698e-14,1.8509374e-07,6.931033e-10,3.2006783e-14,0.99999976
7,9.362303e-13,2.113339e-20,9.8389494e-17,3.52316e-09,3.3669543e-14,1.8509286e-07,6.9310196e-10,3.2006417e-14,0.99999976
8,9.362303e-13,2.1133471e-20,9.8389494e-17,3.52316e-09,3.3669482e-14,1.8509267e-07,6.931033e-10,3.2006356e-14,0.99999976
9,9.362285e-13,2.113331e-20,9.8389494e-17,3.5231533e-09,3.3669417e-14,1.8509233e-07,6.9310063e-10,3.2006356e-14,0.99999976
10,9.362303e-13,2.113339e-20,9.8389494e-17,3.52316e-09,3.3669543e-14,1.8509267e-07,6.9310196e-10,3.2006356e-14,0.99999976
11,4.3840962e-05,3.912309e-06,0.9954543,0.0006525743,0.0021131192,2.277669e-05,0.0015015788,3.118754e-06,0.00020470966
12,8.545677e-10,5.912698e-12,0.99999535,1.5669296e-07,3.6442611e-06,1.4734092e-10,8.674208e-07,2.2565988e-12,2.3151147e-08
13,9.2580986e-14,9.033794e-17,1.0,1.5528868e-10,1.6698873e-08,6.4529426e-15,2.1585673e-09,1.9021073e-17,9.875866e-12
14,8.222097e-14,7.788657e-17,1.0,1.4147018e-10,1.567359e-08,5.6752275e-15,1.9832511e-09,1.6201707e-17,8.910979e-12
15,8.1457824e-14,7.6960964e-17,1.0,1.4040755e-10,1.559793e-08,5.6179316e-15,1.9692066e-09,1.5992622e-17,8.839306e-12
16,8.136497e-14,7.684802e-17,1.0,1.4027611e-10,1.5588533e-08,5.6109495e-15,1.9674382e-09,1.5967203e-17,8.8306445e-12
17,8.1349295e-14,7.6828965e-17,1.0,1.4025364e-10,1.5586927e-08,5.6097938e-15,1.9671231e-09,1.596294e-17,8.829196e-12
18,8.1346964e-14,7.6826034e-17,1.0,1.402499e-10,1.558669e-08,5.609601e-15,1.9670667e-09,1.5962209e-17,8.8289775e-12
19,8.134635e-14,7.6825445e-17,1.0,1.4024935e-10,1.5586659e-08,5.60958e-15,1.967048e-09,1.5962088e-17,8.82896e-12
20,2.6200948e-07,1.0417483e-11,1.4849544e-09,2.6250193e-05,4.499053e-08,0.0001858988,9.699344e-06,3.537212e-08,0.99977785
21,8.544643e-13,1.8414246e-20,9.1416395e-17,3.2653646e-09,3.4062403e-14,1.8157152e-07,5.886399e-10,3.0985373e-14,0.99999976
22,7.1690093e-13,1.3944309e-20,7.284794e-17,2.8863614e-09,2.7990768e-14,1.6492122e-07,5.1545207e-10,2.5544623e-14,0.9999999
23,7.084799e-13,1.3685821e-20,7.174152e-17,2.862496e-09,2.7621643e-14,1.6385393e-07,5.10887e-10,2.5213765e-14,0.9999999
24,7.076965e-13,1.366188e-20,7.163842e-17,2.8602691e-09,2.7586997e-14,1.6375331e-07,5.104652e-10,2.5182815e-14,0.9999999
25,7.076209e-13,1.3659586e-20,7.162858e-17,2.8600564e-09,2.7583736e-14,1.6374395e-07,5.104253e-10,2.5179789e-14,0.9999999
26,7.0761013e-13,1.3659274e-20,7.162722e-17,2.8600238e-09,2.758321e-14,1.6374238e-07,5.1042043e-10,2.5179355e-14,0.9999999
