state,action,qValue,reward,next_state
1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0,0$1$0$0$0$0$0$0$0,0.11522202,0.0,-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0
-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0$-1$-2$0$0$-1$0$-1$-1$0,0$0$0$0$0$0$0$0$1,0.14420786,1.0,-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1
-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1,0$0$0$0$0$0$0$0$1,0.17252956,1.0,-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1
-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1,0$0$0$0$1$0$0$0$0,0.09599888,0.0,-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0
-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0$-1$-1$0$0$-2$0$-1$-1$0,1$0$0$0$0$0$0$0$0,0.072498016,0.0,-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0
-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0,0$0$0$0$0$0$0$0$1,0.21003209,1.0,-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1
-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1,0$0$0$0$0$1$0$0$0,0.12313064,1.0,-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0
-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0$-1$-1$0$0$-1$1$-1$-1$0,0$0$0$1$0$0$0$0$0,0.16378514,1.0,-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0
-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0$-1$-1$0$1$-1$0$-1$-1$0,1$0$0$0$0$0$0$0$0,0.072478026,0.0,-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0
-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0$-2$-1$0$0$-1$0$-1$-1$0,0$0$0$0$0$0$0$0$1,0.2879274,1.0,-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1$-1$-1$0$0$-1$0$-1$-1$1
