state,action,qValue,reward,next_state
0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0,1$0$0$0$0$0$0$0$0,0.96698314,0.0,-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1
-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1,1$0$0$0$0$0$0$0$0,0.94108886,0.0,-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1
-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1,1$0$0$0$0$0$0$0$0,0.86299783,0.0,-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1
-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1,1$0$0$0$0$0$0$0$0,0.2650782,0.0,-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1
-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1,0$0$1$0$0$0$0$0$0,0.018906726,1.0,-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1
-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1,1$0$0$0$0$0$0$0$0,0.6502474,0.0,-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1
-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1$-2$0$0$0$-1$0$0$-1$-1,0$0$0$0$1$0$0$0$0,0.3995439,0.0,-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1
-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1$-1$0$0$0$-2$0$0$-1$-1,0$0$1$0$0$0$0$0$0,0.6303613,1.0,-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1
-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1,0$0$1$0$0$0$0$0$0,0.78543884,1.0,-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1
-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1,0$0$1$0$0$0$0$0$0,0.83129114,1.0,-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1$-1$0$1$0$-1$0$0$-1$-1
