state,action,qValue,reward,next_state
0$0$0$0$0$-2$0$0$0$0$0$0$0$0$-2$0$0$0$0$0$0$0$0$-2$0$0$0$0$0$0$0$0$-2$0$0$0$0$0$0$0$0$-2$0$0$0$0$0$0$0$0$-2$0$0$0$0$0$0$0$0$-2$0$0$0$0$0$0$0$0$-2$0$0$0$0$0$0$0$0$-2$0$0$0$0$0$0$0$0$-2$0$0$0,0$0$0$0$0$0$0$1$0,0.10625215,0.0,-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0
-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0,0$0$0$1$0$0$0$0$0,0.09809741,0.0,-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0
-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0,0$0$0$0$1$0$0$0$0,0.06653615,0.0,-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0
-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0,1$0$0$0$0$0$0$0$0,0.033551376,0.0,-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0
-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0$-2$-1$-1$-1$-1$0$0$-1$0,0$0$0$1$0$0$0$0$0,6.0863604e-06,0.0,-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0
-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0$-1$-1$-1$-2$-1$0$0$-1$0,0$0$0$0$0$0$1$0$0,0.0019078978,1.0,-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0
-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0$-1$-1$-1$-1$-1$0$1$-1$0,0$0$0$0$0$0$0$1$0,0.00020868031,0.0,-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0
-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0,0$0$0$0$0$1$0$0$0,0.0040178904,1.0,-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0
-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0$-1$-1$-1$-1$-1$1$0$-1$0,0$0$0$0$1$0$0$0$0,0.0004685188,0.0,-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0
-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0$-1$-1$-1$-1$-2$0$0$-1$0,0$0$0$0$0$0$0$1$0,0.0039274106,0.0,-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0$-1$-1$-1$-1$-1$0$0$-2$0
